partner,sector,province,district,org_no
"DPS, MISAU, UNICEF",Saúde,Zambezia,Alto Molocue,3
"DPS, MISAU, UNICEF",Saúde,Tete,Angonia,3
"AIDSFREE, DPS, IOM, MISAU, UNICEF, USAID",Saúde,Manica,Barue,6
"AAF, CHAI (CLINTON HEALTH ACCESS INITIATIVE), DPS, FHI 360, HILFSWERK INTERNATIONAL, INS, JAPAN DISASTER RELIEF MEDICAL TEAM (JDR), JICA, MENTOR INITIATIVE, MISAU, MSF, PROJECT HOPE, PROVINCIAL HEALTH DIRECTORATE, SAAF, SAHMS, SAMIRITAN'S PURSE, UNICEF, USAID, WHO, WORLD VISION MOZAMBIQUE",Saúde,Sofala,Buzi,20
"AIDSFREE, DPS, MISAU, UNICEF, USAID",Saúde,Tete,Cahora Bassa,5
"CHAI (CLINTON HEALTH ACCESS INITIATIVE), DPS, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF, WORLD VISION MOZAMBIQUE",Saúde,Sofala,Caia,7
"AIDSFREE, DPS, MISAU, UNICEF, USAID",Saúde,Tete,Changara,5
"CHAI (CLINTON HEALTH ACCESS INITIATIVE), DPS, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF, WORLD VISION MOZAMBIQUE",Saúde,Sofala,Chemba,7
"DPS, MISAU, UNICEF",Saúde,Sofala,Cheringoma,3
"CHAI (CLINTON HEALTH ACCESS INITIATIVE), DPS, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, SAAF, SAHMS, UNICEF, WHO, WORLD VISION MOZAMBIQUE",Saúde,Sofala,Chibabava,10
"DPS, MISAU, UNICEF",Saúde,Tete,Chifunde,3
"DPS, MISAU, UNICEF",Saúde,Zambezia,Chinde,3
"DPS, MISAU, UNICEF",Saúde,Tete,Chiuta,3
"AGS, ANANDJIRA, ASB, ASSISTENCIA MÉDICA INTERNACIONAL, BRIGADA CUBANA, CDC, CHAI (CLINTON HEALTH ACCESS INITIATIVE), COMMUNITY OF SANT'EGIDIO, CRUZ VERMELHA DE MOZAMBIQUE, CRUZ VERMELHA DE PORTUGAL, CUAMM, CUAMM MEDICOS COM AFRICA, DIRECT RELIEF, DPS, DPS, DREAM, EQUIP, EUCP, HEALTH ALLIANCE INTERNATIONAL, HILFSWERK INTERNATIONAL, INDIAN NAVY, INGC, INS, INTERNATIONAL FEDERATION OF THE RED CROSS AND THE RED CRESCENT SOCIETIES, INTERNATIONAL MEDICAL CORPS, IOM, ITALY PIEMONTE, JAPAN DISASTER RELIEF EXPERT TEAM (JDR), JICA, KUPLUMUSSANA, MDM-INTL, MEDICAL TEAMS INTERNATIONAL, MEDICOS DEL MUNDO, MENTOR INITIATIVE, MINISTÉRIO DA SAÚDE, MINISTRY OF HEALTH, MISAU, MISAU, MOTHERS 2 MOTHERS, MSF, PORTUGAL RED CROSS, PROVINCIAL HEALTH DIRECTORATE, SAVE THE CHILDREN, SDSMAS, UNICEF, UNICEF, USAID, WHO, WORLD VISION MOZAMBIQUE",Saúde,Sofala,Cidade Da Beira,49
"AIDSFREE, USAID",Saúde,Manica,Cidade De Chimoio,2
"CUAMM, CUAMM MEDICOS COM AFRICA, DIRECT RELIEF, DPS, MISAU, UNICEF, ZAMBEZIA PROVINCIAL HEALTH DIRECTORATE",Saúde,Zambezia,Cidade De Quelimane,7
"AIDSFREE, CUAMM, CUAMM MEDICOS COM AFRICA, DPS, MISAU, UNICEF, USAID",Saúde,Tete,Cidade De Tete,7
"HLAYSA, USAID",Saúde,Gaza,Cidade De Xai - Xai,2
"AAF, AGS, ANANDJIRA, ASB, CHAI (CLINTON HEALTH ACCESS INITIATIVE), CUAMM, CUAMM MEDICOS COM AFRICA, DPS, EUCP, INEM - PORTUGAL (EUCP), INS, KUPLUMUSSANA, MDM-INTL, MEDICOS DEL MUNDO, MENTOR INITIATIVE, MISAU, MSF, PROVINCIAL HEALTH DIRECTORATE, SDSMAS, SPAIN AECID, TEAM RUBICON, UNICEF, WHO, WORLD VISION MOZAMBIQUE",Saúde,Sofala,Dondo,24
"DPS, MISAU, UNICEF",Saúde,Zambezia,Gile,3
"AIDSFREE, DPS, IOM, MISAU, UNICEF, USAID",Saúde,Manica,Gondola,6
"CHAI (CLINTON HEALTH ACCESS INITIATIVE), DPS, INS, MISAU, PROVINCIAL HEALTH DIRECTORATE, UNICEF",Saúde,Sofala,Gorongosa,6
"HLAYSA, IOM, USAID",Saúde,Inhambane,Govuro,3
"DPS, MISAU, UNICEF",Saúde,Manica,Guro,3
"DPS, MISAU, UNICEF",Saúde,Zambezia,Gurue,3
"HLAYSA, USAID",Saúde,Inhambane,Homoine,2
"DPS, MISAU, UNICEF",Saúde,Zambezia,Ile,3
"HLAYSA, USAID",Saúde,Inhambane,Inharrime,2
"HLAYSA, USAID",Saúde,Inhambane,Inhassoro,2
"DPS, MISAU, UNICEF",Saúde,Zambezia,Inhassunge,3
